,Kcalories,Glucides,Protéines,Lipides
kakor-chokladflarn-ikea,506,61,5.2,26
cigarette-russe-delacre,547,63.9,3.8,30.4
le-petit-beurre-tablette-fourrage-au-lait-carrefour,160,12,6.3,26
madeleine-saint-michel,448,44,8,28
madeleine-stmichel,453,59,6,21
gateau-dore-avec-glacage-a-la-vanille,373,58.8,3.5,14.5
gateau-dore,361,53,5.3,14.6
gateau-dore-avec-glacage-au-chocolat,379,55.36,3.16,17.75
gateau-blanc-avec-glacage-a-la-noix-de-coco,356,63.2,4.4,10.3
gateau-blanc,357,57.2,5.4,12.4
tarte-a-la-creme-a-la-vanille,278,32.6,4.8,14.4
genoise-fourree,297,57.7,7.3,4.3
petit-gateau-au-chocolat,399,60.31,3.63,15.93
petite-genoise-fourree,374,64.03,3.47,11.54
shortcake,346,48.5,6.1,14.2
tarte-a-la-citrouille,204,26.4,4.5,9.3
quatre-quarts-16998,390,51.29,7.06,17.45
gateau-au-pop-corn,384,80.1,9.7,3.1
gateau-a-lananas,319,50.5,3.5,12.1
pate-a-tarte,527,47.5,6.4,34.6
tarte-danoise-aux-pommes,290,44.54,2.17,11.5
pate-a-tarte-aux-gaufrettes-a-la-vanille,531,50.2,3.7,36.2
beurre-damande,614,18.82,20.96,55.5
huile-de-foie-de-morue,902,0,0,100
huile-de-coton,884,0,0,100
huile-de-cupuacu,884,0,0,100
huile-de-noisette,884,0,0,100
saindoux,902,0,0,100
saindoux-huile-vegetale,900,0,0,100
margarine-a-tartiner,424,0.86,0.2,47.53
margarine-salee,717,0.7,0.16,80.71
margarine,717,0.7,0.16,80.71
margarine-avec-yaourt,630,0.5,0.3,70
huile-dalose-tyran,902,0,0,100
huile-de-noix-de-muscade,884,0,0,100
huile-de-saumon,902,0,0,100
huile-de-sardine,902,0,0,100
beurre-de-sesame,586,24.05,18.08,50.87
matiere-grasse,884,0,0,100
beurre-de-graines-de-tournesol,617,23.32,17.28,55.2
beurre-ducuuba,884,0,0,100
margarine-au-soja,628,1.53,0.26,70.22
huile-vegetale-a-tartiner,533,0.86,0.17,59.81
huile-vegetale-a-tartiner-0,43,2.5,1.5,3
beurre-beurre-envia,749,0.6,1.1,82.5
pate-damande,458,47.81,9,27.74
chocolat-patissier,501,29.84,12.9,52.31
levure-chimique,53,27.7,0,0
bicarbonate-de-soude,0,0,0,0
glacage-au-chocolat,397,63.2,1.1,17.6
creme-de-tartre,258,61.5,0,0
substitut-doeuf,48,2,10,0
substitut-doeuf-en-poudre,444,21.8,55.5,13
blanc-doeuf-deshydrate,376,4.47,82.4,0.04
blanc-doeuf-cru,52,0.73,10.9,0.17
oeuf-au-plat,196,0.83,13.61,14.84
oeuf-a-la-coque,155,1.12,12.58,10.61
oeuf-deshydrate,605,1.53,48.37,43.04
oeuf-cru,143,0.72,12.56,9.51
jaune-doeuf-deshydrate,679,2.1,33.73,58.13
jaune-doeuf-cru,322,3.59,15.86,26.54
fondant,373,93.18,0,0.02
gelatine-en-poudre,335,0,85.6,0.1
garniture-a-lananas,253,66.4,0.1,0.1
melange-pour-popover,371,71,10.4,4.3
garniture-a-la-fraise,254,66.3,0.2,0.1
sucre-de-canne,399,99.8,0,0
sucre-roux,380,98.09,0.12,0
sucre-cristallise,387,99.98,0,0
sucre-derable,354,90.9,0.1,0.2
sucre-blanc,389,99.77,0,0
sirop-dagave,310,76.37,0.09,0.45
edulcorant-a-laspartame,365,89.08,2.17,0
fructose,368,100,0,0
edulcorant-a-la-saccharine,360,89.11,0.94,0
sucre-de-coco-comptoirs-et-compagnies,372,92,1,0
cacao-van-houten,366.6667,8.6667,20,20.6667
sucre-discunt,400,100,0,0
levure-boulangere,105,18.1,8.4,1.9
levure-boulangere-seche,325,41.22,40.44,7.61
glace-royale-en-poudre,371,94.9,2.3,0
extrait-de-vanille,288,12.65,0.06,0.06
glacage-a-la-vanille,418,67.89,0,16.23
perles-de-tapioca,358,88.69,0.19,0.02
edulcorant-splenda,336,91.17,0,0
beurre-leger,717,0.06,0.85,81.11
huile-de-beurre,876,0,0.28,99.48
beurre,717,0.06,0.85,81.11
creme,292,2.96,2.17,30.91
creme-0,59,9,2.6,1.4
creme-fouettee,257,12.49,3.2,22.22
lait-en-poudre-allege,354,51.8,35.5,0.2
lait-en-poudre,496,38.42,26.32,26.71
lait-allege-en-matieres-grasses-17085,77,12.08,3.05,1.83
lait-de-brebis,108,5.36,5.98,7
creme-sure,208,6.63,2.4,19.52
creme-sure-0,74,15.6,3.1,0
creme-sure-legere,138,7.1,3.5,10.6
creme-sure-allegee-en-matieres-grasses,181,7,7,14.1
petit-lait-en-poudre,339,73.45,11.73,0.54
petit-lait-liquide,24,5.12,0.76,0.09
babeurre-doux-en-poudre,353,74.46,12.93,1.07
babeurre-doux-liquide,27,5.14,0.85,0.36
lait-de-chevre,69,4.45,3.56,4.14
yaourt-veloute-nature-danone,71.2,6.08,4.48,3.52
lait-demi-ecreme-leader-price,46,4.8,3.5,1.5
lait-demi-ecreme-de-montagne-carrefour,46,4.8,3.2,1.6
creme-legere-semis-epaisse-12-milsani-aldi,144,6,2.9,12
lait-soja-noisette-alpro,29,3.1,0.4,1.6
lait-de-soja-au-calcium-bio-village,51,4.3,3.7,2
lait-ecreme-auchan,32,4.8,3.2,0
yaourt-a-boire-actimel-gout-myrtille,74,12.8,2.7,1.6
lait-ecreme-monoprix,34,5,3.4,0
lait-u-bio-burger-king,33,4.8,3.2,0.1
lait-everyday-a-la-fraise-everyday,35,7,1.9,0
feuilles-damarante,23,4.02,2.46,0.33
marante,99,20.23,5.33,0.29
arrow-root,65,13.39,4.24,0.2
artichaut-cuit,53,11.95,2.89,0.34
artichaut-cru,47,10.51,3.27,0.15
asperge-cuite,22,4.11,2.4,0.22
asperge-crue,20,3.88,2.2,0.12
avocat,160,8.53,2,14.66
mini-carottes,35,8.24,0.64,0.13
pousses-de-bambou-cuites,12,1.92,1.53,0.22
pousses-de-bambou-crues,27,5.2,2.6,0.3
piment-banane,27,5.35,1.66,0.45
feuilles-de-betteraves-cuites,27,5.46,2.57,0.2
feuilles-de-betteraves-crues,22,4.33,2.2,0.13
betteraves-cuites,44,9.96,1.68,0.18
betteraves-crues,43,9.56,1.61,0.17
brocoli-rave-cuit,33,3.12,3.83,0.52
brocoli-rave-cru,22,2.85,3.17,0.49
brocoli-cuit,35,7.18,2.38,0.41
brocoli-cru,34,6.64,2.82,0.37
choux-de-bruxelles-cuits,36,7.1,2.55,0.5
choux-de-bruxelles-crus,43,8.95,3.38,0.3
racine-de-bardane-cuite,88,21.15,2.09,0.14
racine-de-bardane-crue,72,17.34,1.53,0.15
chou-cuit,23,5.51,1.27,0.06
chou-japonais,30,5.67,1.6,0.1
chou-moutarde,28,5.63,1.1,0.1
chou-napa-cuit,12,2.23,1.1,0.17
